,Unnamed: 0,Executable,GPUBlockSize,DataSize,ExecTime,NormExec,Improvement,SpeedUp
0,0,./mm-naive.out,4,512,0.26228609999999997,1.5110902771284087,-51.109027712840856,0.6617738298868179
3,3,./mm-naive.out,8,512,0.16946009523809527,0.9762984095441578,2.3701590455842183,1.0242769938208838
6,6,./mm-naive.out,16,512,0.1692261176470588,0.9749504110689007,2.504958893109928,1.0256931928503275
9,9,./mm-naive.out,24,512,0.1722691111111111,0.9924817931623273,0.7518206837672629,1.0075751584456956
12,12,./mm-naive.out,32,512,0.1735740769230769,1.0,0.0,1.0
15,15,./mm-shmem.out,4,512,0.17687466666666668,1.0190154532410536,-1.9015453241053508,0.9813393867771353
18,18,./mm-shmem.out,8,512,0.1244708181818182,0.7171048833345093,28.289511666549068,1.3944961514556136
21,21,./mm-shmem.out,16,512,0.12684825,0.7308018123939991,26.91981876060009,1.3683600437773236
24,24,./mm-shmem.out,24,512,0.12431270370370368,0.7161939496229932,28.38060503770068,1.3962698240140163
27,27,./mm-shmem.out,32,512,0.124210875,0.7156072911454787,28.43927088545213,1.3974144930794254
1,1,./mm-naive.out,4,1024,1.0979317,1.6723604078619838,-67.23604078619839,0.5979572317658741
4,4,./mm-naive.out,8,1024,0.607212,0.924900253794194,7.509974620580593,1.0811976706652704
7,7,./mm-naive.out,16,1024,0.5807266666666666,0.8845580149685057,11.544198503149424,1.130508099048319
10,10,./mm-naive.out,24,1024,0.6570961999999999,1.0008834511623625,-0.08834511623624867,0.9991173286346812
13,13,./mm-naive.out,32,1024,0.6565162000000001,1.0,0.0,1.0
16,16,./mm-shmem.out,4,1024,0.6232615555555554,0.9493468029510244,5.065319704897563,1.0533558409756278
19,19,./mm-shmem.out,8,1024,0.3689227714285715,0.5619400883459866,43.80599116540134,1.7795491383136555
22,22,./mm-shmem.out,16,1024,0.34298163636363643,0.5224267677836988,47.75732322163012,1.914143879423176
25,25,./mm-shmem.out,24,1024,0.3452940416666667,0.5259490042540712,47.40509957459288,1.9013250180371633
28,28,./mm-shmem.out,32,1024,0.33894075,0.5162717233786462,48.37282766213538,1.936964498957414
2,2,./mm-naive.out,4,2048,7.38002,1.8594576344638705,-85.94576344638703,0.5377912254980339
5,5,./mm-naive.out,8,2048,3.94666375,0.9943948716398204,0.5605128360179557,1.0056367229156526
8,8,./mm-naive.out,16,2048,3.940142222222223,0.9927517182859331,0.7248281714066849,1.0073012028894612
11,11,./mm-naive.out,24,2048,4.027792857142857,1.0148360273079653,-1.4836027307965358,0.9853808626135193
14,14,./mm-naive.out,32,2048,3.96891,1.0,0.0,1.0
17,17,./mm-shmem.out,4,2048,4.261175833333334,1.0736388160309338,-7.363881603093379,0.9314119283585849
20,20,./mm-shmem.out,8,2048,2.2440075,0.5653964186640664,43.46035813359336,1.7686705592561522
23,23,./mm-shmem.out,16,2048,2.185029615384616,0.5505364483912751,44.946355160872486,1.8164101630729523
26,26,./mm-shmem.out,24,2048,2.26989,0.5719177305607838,42.808226943921625,1.7485032314341222
29,29,./mm-shmem.out,32,2048,2.1574075,0.5435768258791457,45.64231741208543,1.8396663588126025
